Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C16, C17, C19, C2, C20, C23, C24, C25, C3, C4, C5, C7, C8",0603,16,1uF,
"C12, C13, C14, C15",0805,4,"0,47uF",
"C18, C21, C26, C6, C9",0805,5,10uF,
C22,0603,1,220pF,
C27,0603,1,100nF,
C28,CP_Radial_D10.0mm_P5.00mm,1,2200uF,
J1,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,"3,5mm Jack",
J2,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Barrel_Jack_Switch,
J3,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Speaker_R,
J4,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Speaker_L,
"L1, L2, L3, L4",L_7.3x7.3_H4.5,4,"33uH/22uH, 2A",
R1,0603,1,120K,
R2,0603,1,100K,
RV1,AudioPot,1,10K LOG,
U1,QFN40-40P-POWER,1,PAM8610,
