Designator,Mid X,Mid Y,Rotation,Layer
C1,139.952,-86.4,270.0,top
C10,142.982,-94.241,180.0,top
C11,129.81,-94.119,0.0,top
C12,152.156,-86.037,180.0,top
C13,121.087,-85.937,0.0,top
C14,152.166,-103.969,180.0,top
C15,121.082,-103.807,0.0,top
C16,142.982,-95.781,0.0,top
C17,129.792,-95.662,180.0,top
C18,141.959,-99.445,90.0,top
C19,140.145,-99.225,90.0,top
C2,138.307,-86.434,270.0,top
C20,132.981,-99.225,90.0,top
C21,131.218,-99.445,90.0,top
C22,132.537571,-103.323,270.0,top
C23,130.997,-103.323,270.0,top
C24,142.281,-103.323,270.0,top
C25,139.199857,-103.323,270.0,top
C26,137.409286,-103.543,90.0,top
C27,135.618714,-103.323,90.0,top
C28,131.065,-77.769,270.0,top
C3,137.285,-89.77,270.0,top
C4,135.638,-86.47,270.0,top
C5,133.997,-86.503,270.0,top
C6,141.959,-90.042,270.0,top
C7,140.134,-90.262,270.0,top
C8,133.04,-90.262,270.0,top
C9,131.218,-90.042,270.0,top
J1,153.84905,-72.158,180.0,top
J2,118.469,-75.056,0.0,top
J3,158.60405,-95.2768,270.0,top
J4,114.39655,-94.7358,90.0,top
L1,149.656,-91.04,180.0,top
L2,123.591,-90.881,180.0,top
L3,149.655,-98.964,180.0,top
L4,123.585,-98.768,180.0,top
R1,134.078143,-103.323,270.0,top
R2,140.740429,-103.323,270.0,top
RV1,136.388,-131.489,90.0,top
U1,136.627,-94.9858,270.0,top
